State,id,GDP_nospace
Distrito Federal,1,2312562
México,3,1230628
Nuevo León,27,1041797
Veracruz,26,676899
Guanajuato,19,676899
Campeche,31,591414
Coahuila,28,570172
Sonora,7,464771
Puebla,24,401342
Chihuahua,11,435028
Baja California,6,400916
Tabasco,17,409317
Tamaulipas,29,433857
Michoacán,14,423215
Querétaro,21,318401
Sinaloa,5,314979
San Luis Potosí,22,290580
Chiapas,16,271982
Hidalgo,25,227598
Quintana Roo,32,224237
Oaxaca,18,223435
Yucatán,30,213783
Guerrero,2,203685
Aguascalientes,20,196744
Durango,10,169885
Morelos,4,161902
Zacatecas,9,159797
Baja California Sur,8,131983
Nayarit,13,103406
Colima,12,92149
Tlaxcala,23,81672
Jalisco,15,1041797
